s_m,d_min_m,d_max_m
134.6863355,-2.1132650,4.3308895
135.6441347,-2.0575468,4.3871014
136.6096558,-2.0062949,4.4368175
137.5827288,-1.9607087,4.4693832
138.5644282,-1.9251598,4.4686178
139.5571942,-1.9344427,4.4197549
140.5634745,-1.9889048,4.3253054
141.5838315,-2.0792425,4.1965317
142.6158700,-2.1972519,4.0607528
143.6545043,-2.3450223,3.9395271
144.6252685,-2.4163499,3.8534249
145.5837109,-2.4863942,3.7645021
146.5452152,-2.5575870,3.6611938
147.5251240,-2.6480197,3.5241508
148.5286363,-2.7848557,3.3639329
149.5464273,-2.9488176,3.2415836
150.5622988,-2.9436685,3.1509335
151.5685104,-2.8860281,3.1005042
152.5644409,-2.8512672,3.0685107
153.5532752,-2.7972425,3.0125994
154.5141336,-2.8774343,2.7885010
155.4753385,-2.9697550,2.3869598
156.4384888,-3.3752811,2.2930344
157.3974389,-3.1362730,2.1103542
158.3436243,-2.7281923,2.0332692
159.2699808,-2.5999615,2.0017108
160.1680745,-2.4884201,2.1249596
161.1004951,-2.3193306,2.4051742
162.1559290,-2.2738036,2.6727711
163.3795034,-2.6765304,2.9672797
164.5980760,-3.1618571,3.0488412
165.6049390,-3.5736391,3.1655506
166.4632742,-3.9880175,3.2829103
167.3632231,-4.1212826,3.2503599
168.4430691,-4.3796289,3.1014791
169.6496021,-4.8545131,2.9967924
170.7734667,-5.0996165,2.9025502
171.8033598,-5.2404260,2.6720117
172.7795891,-4.8913563,3.1534716
173.7794548,-4.5521281,3.1144783
174.8747342,-4.3498062,3.0806683
176.1453070,-4.1928675,3.2687318
177.5329825,-3.9799549,3.5651017
178.8533288,-3.6521401,3.9520017
180.0150421,-3.2252160,4.2273949
181.0653679,-2.6298364,4.4383050
182.0715409,-2.2260494,4.5367025
183.1107314,-2.0096920,4.8502714
184.2259862,-1.6612133,5.6426526
185.3938283,-1.5936536,5.8350679
186.5120461,-1.5269964,5.2868946
187.5283303,-1.8040979,4.4644138
188.4697396,-2.1335446,3.9105417
189.3703179,-2.2198853,3.6027361
190.2296329,-2.7939711,3.3553528
190.9613039,-3.1705195,3.0896400
191.6802872,-3.5084748,2.8497453
192.3933225,-3.8976679,2.5950256
193.1266717,-4.2338453,2.3360988
193.9034846,-4.5752982,2.0327486
194.7160143,-5.3617145,2.0076814
195.5235668,-5.3308758,1.8582178
196.2952160,-5.1746366,1.7263949
197.0577242,-5.0662888,1.7316411
197.8708775,-4.9895555,1.6593825
198.7593754,-4.8235747,1.7325608
199.6971560,-4.7348527,1.8939165
200.7016707,-4.7072830,1.8788544
201.7359397,-4.7638232,1.9709792
202.7336108,-4.8899455,2.0677231
203.7368093,-5.0347765,2.1450719
204.7335992,-5.3565022,2.1796049
205.7546275,-5.5266078,2.1802602
206.7400895,-5.5466229,2.1723213
207.7212043,-5.4562255,2.1628947
208.6893898,-5.2476681,2.1850991
209.6197546,-4.8587559,2.2422234
210.4703975,-4.2519962,2.2731996
211.2235532,-3.9212650,2.4723563
212.0396081,-3.3367281,2.5928376
212.9675969,-3.1232559,2.7648940
213.9344893,-2.3576916,2.7690351
215.0234171,-1.9406645,2.7523845
216.2138753,-1.7146427,2.7424074
217.3267486,-1.4379660,6.4186210
218.3177261,-1.4080971,6.3801384
219.2622520,-1.2155688,6.3050924
220.2029930,-1.3244646,6.2120606
221.1391402,-1.5234842,6.0974657
222.0671219,-1.5652637,6.2207338
222.9922412,-1.7781039,5.5556291
224.0503478,-1.7573024,4.8136307
225.0262909,-2.0430971,4.4430512
225.9017909,-2.4163142,4.0477247
226.7163061,-3.0025571,4.3800863
227.4970389,-3.1323594,4.3096826
228.2988959,-3.2283344,4.2633608
229.1427256,-3.2935935,4.2486973
230.0491022,-3.1219754,4.2849986
231.0387308,-2.8780243,4.3315131
232.1297805,-2.6975796,4.4062230
233.3278884,-2.5465366,4.1635148
234.6130090,-2.4969389,4.0062571
235.9366065,-2.5351431,3.6792782
237.2380963,-2.7174884,3.4618671
238.4715598,-2.9539615,3.2923734
239.6227907,-3.1844556,3.1631288
240.7061479,-3.4497535,3.2149956
241.7482508,-4.1433528,3.3668704
242.7723059,-3.7614794,3.4103270
243.7912603,-3.4062416,3.8887705
244.6898138,-3.2735984,4.2065534
245.6944856,-3.1232072,4.4848776
246.6700995,-3.0533431,4.6169414
247.6152103,-3.0210658,4.6823423
248.6532436,-2.9851395,4.5374122
249.6482017,-2.9780725,4.4949658
250.6323836,-2.9719536,4.5089504
251.6686019,-2.8650901,4.5621770
252.8870599,-2.8005181,4.4650446
254.1539849,-2.6902282,4.4390847
255.4550870,-2.6397840,4.5711910
256.6420409,-2.6379897,4.6396673
257.8069860,-2.6646829,4.6459433
258.9551929,-2.7054826,4.6648351
260.1191609,-2.7374171,4.7303322
261.3147510,-2.7390525,4.8372912
262.4913984,-2.7084641,4.6034034
263.5657047,-2.7869233,4.2509234
264.5197977,-2.8442400,4.1080987
265.4109776,-2.9427778,3.4950559
266.2941582,-3.2432549,3.0352065
267.2638725,-3.9479228,2.8544914
268.2118028,-3.5171630,2.5008146
269.2037064,-4.1537104,2.4773828
270.2109815,-4.9044554,2.2224926
271.2416599,-5.0102059,2.1707681
272.2886860,-3.8108308,2.3068491
273.3346816,-3.4003398,2.3180364
274.3675618,-3.2121134,2.2804619
275.3891142,-2.8892465,2.4011451
276.4631008,-2.8530222,2.6621409
277.5895114,-2.7188868,4.3027746
278.7349957,-2.6440475,4.1280302
279.8729196,-2.7915876,3.9471912
281.0603140,-2.7431871,3.8198326
282.3570014,-2.7646021,4.3893799
283.6872481,-2.7963855,4.1650199
284.9640616,-2.7364131,4.3943697
286.2354545,-2.8075289,3.4744595
287.4855568,-3.2900536,3.0736746
288.6871517,-3.6871784,2.7632223
289.8139359,-4.0135269,2.5119340
290.8550241,-4.8949600,2.3457129
291.8165628,-4.9943159,2.2638625
292.7120636,-4.9836779,2.2459348
293.5553232,-4.9904486,2.2219494
294.3607755,-4.9339978,2.2147430
295.1458912,-4.6162784,1.9664914
296.0817490,-4.3304437,2.3260436
297.0155643,-3.6954625,2.6325309
297.9466105,-3.1937486,2.7317218
298.8751331,-2.6120720,2.9178311
299.8004749,-2.3878570,4.4015063
300.7196502,-2.0493905,4.3617978
301.6281293,-1.6449529,4.3631818
302.5224287,-1.6367205,4.4034876
303.4024395,-1.5436363,4.4748601
304.2717940,-1.6268453,4.5508655
305.1361777,-1.7534840,4.6933387
306.0007688,-1.9089617,4.7667434
306.8682258,-1.9245457,4.5211014
307.7381346,-2.6090662,4.4249476
308.6479931,-3.1966429,4.1496517
309.6098312,-3.3689134,4.0330857
310.5909074,-3.2602522,3.9558105
311.5806465,-3.0343644,4.0371810
312.5751886,-2.9643685,4.2650272
313.5729600,-2.8644287,4.2170897
314.5835875,-2.6395516,4.4283480
315.5474724,-2.4315339,5.1371219
316.5107170,-2.2220307,4.8818417
317.4984568,-2.1952633,4.6697716
318.5098213,-2.3399432,4.4236378
319.4788934,-2.5065084,4.1677179
320.5015462,-2.7491564,3.8820447
321.5441383,-3.0095107,3.5659218
322.5756428,-3.4365043,3.2847957
323.5748342,-3.6699654,2.9595932
324.5385580,-4.1841919,2.6614420
325.5899678,-4.1050074,2.5649981
326.5719914,-4.1062836,2.2936843
327.5244229,-4.2413727,2.3013240
328.4931510,-4.2913896,2.2681054
329.5171321,-4.1962679,2.2898881
330.4604019,-4.0049365,2.3519270
331.4764344,-3.5750040,2.4818318
332.5194092,-3.3075041,2.4935603
333.5351725,-3.0688615,2.5821964
334.5430626,-2.8647580,2.6603279
335.5385660,-2.7006286,2.8106478
336.5202972,-2.5773589,2.9134986
337.4866290,-2.4883100,3.0125772
338.4330573,-2.3982762,3.0035603
339.2571159,-2.2730953,3.1896749
340.0653629,-2.1379317,3.4043592
340.8497660,-1.9963799,3.6231976
341.6180222,-1.8590665,3.9147969
342.3943786,-1.7767616,4.1814493
343.2425142,-1.7337739,4.5243884
